algorithm,category,N,cpu_energy_j,gpu_energy_batch_j,gpu_energy_per_sig_j,ratio,winner,cpu_time_us,cpu_delta_w,gpu_delta_w
savgol,filter,1024,0.003010780026160253,0.004872488847556063,2.379144945095734e-06,1265.488272316718,GPU,175.5644499841925,17.149143955005343,94.22391545226132
savgol,filter,4096,0.003906801878293318,0.02138884902380476,1.0443773937404669e-05,374.07951394859265,GPU,178.49333523720165,21.887662489479105,142.76484108040202
savgol,filter,16384,0.0033503932337835816,0.09949924699110552,4.858361669487574e-05,68.96137961126631,GPU,202.58085244308498,16.53854840365465,148.52328391959796
stft,transform,256,0.0009590288608508494,0.004853211270140975,2.369732065498523e-06,404.699280063587,GPU,60.427801411578805,15.870656195462479,81.28336695979898
stft,transform,1024,0.0009726747087522816,0.012243103429600022,5.978077846484386e-06,162.70693251749748,GPU,56.882739673042295,17.099645944325864,141.33377047738693
stft,transform,4096,0.0012927996845758314,0.0843877344909565,4.1204948481912355e-05,31.374864723913653,GPU,73.70721151011386,17.53966346153846,130.51154974874368
stft,transform,16384,0.00220153011648038,0.16612920684641433,0.0001622355535609515,13.569960888093933,GPU,138.4588640895085,15.900246841958584,130.29694736180906
svd,decomposition,256,0.059487073635501875,0.1005872312517131,0.1005872312517131,0.5913978632798759,CPU,3231.5085917315855,18.408452877925374,38.809528391959795
svd,decomposition,1024,0.15798404719721015,0.06437864204594013,0.06437864204594013,2.453982286306597,GPU,7272.446511628227,21.723645123357414,39.775352386934685
transformer_denoiser,ml_enhanced,256,0.061809102249055385,0.1682285596795077,0.002628571244992308,23.51433401959636,GPU,2874.375402299178,21.50348983630149,115.87652399497492
transformer_denoiser,ml_enhanced,1024,0.2242399173236063,0.2179397184598337,0.027242464807479213,8.231263907590437,GPU,5828.324708625053,38.47416342328433,114.2348762562814
transformer_denoiser,ml_enhanced,4096,4.114078263234894,0.38165045564625044,0.38165045564625044,10.77970221801126,GPU,57247.98114285867,71.86416326138166,110.05736432160805
transformer_denoiser,ml_enhanced,16384,102.58829293633947,5.579762710702905,5.579762710702905,18.385780588761993,GPU,1739093.8500000932,58.98950935645823,138.47836683417086
ukf,estimation,256,0.16942317572108537,1.5610238167302446,1.5610238167302446,0.10853337015444321,CPU,10624.30594479946,15.946752343292326,13.383143316831687
ukf,estimation,1024,0.17098217788792539,1.5993137884895519,1.5993137884895519,0.10690971285216452,CPU,10448.064091858569,16.36496257915948,13.565221105527645
ukf,estimation,4096,0.2316744867226211,1.597289440559674,1.597289440559674,0.145042270260952,CPU,10457.735632183452,22.153408239700376,13.774104477611939
ukf,estimation,16384,0.23252742862076714,1.524032201217377,1.524032201217377,0.15257382910612208,CPU,10476.400837696976,22.195354322838565,13.666307788944724
welch,spectral,256,0.002010974450171966,0.006092507857414835,2.9748573522533374e-06,675.990211311723,GPU,104.37784689893148,19.26629557821002,55.41751893939393
welch,spectral,1024,0.0034133047930431813,0.03079525550026125,1.5036745849736938e-05,226.9975716257049,GPU,180.81050119330195,18.877801734502498,150.62606256281404
welch,spectral,4096,0.008177743875881157,0.2443586653747817,0.00011931575457753013,68.53867626146004,GPU,458.7295779817287,17.826938284339008,119.70779396984922
welch,spectral,16384,0.029690094459094023,0.25018099255185433,0.0004886347510778405,60.76132406383911,GPU,1569.6508160702485,18.91509509957485,118.30353429648241
wiener,filter,256,0.0007904380649065667,0.008886383085894976,4.339054241159656e-06,182.1682839104851,GPU,40.735418431858896,19.404196528109566,55.37747035175879
wiener,filter,1024,0.0006232653081163322,0.03177306656943112,1.551419266085504e-05,40.173879604379096,GPU,38.37256987613539,16.242469819670653,137.1742135678392
wiener,filter,4096,0.0009325715412565629,0.22636068129208478,0.00011052767641215077,8.437448171615063,GPU,53.468207968862004,17.441608325449387,121.61994045226133
wiener,filter,16384,0.0014968401312622382,0.23378079880665537,0.00045660312266924876,3.278208266539845,GPU,106.26038465625084,14.086530329289427,121.49533366834167
