algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
welch,spectral,4096,2048,fp32,11792,10.000773668289185,76.28164999999998,0.09676635520675592,290.06361000000004,27.863101633125844,213.78196000000005,2900.860513016904,2137.9849963232523,0.18130808991886468,49.585,52,1397,848.098174040806,200,40,39.0,6.006664514541626,False,NVIDIA A100-SXM4-40GB
welch,spectral,16384,1024,fp32,6034,10.00085163116455,76.83445,0.12620755722222238,302.26739999999995,26.136588913628337,225.43294999999995,3022.931420337867,2254.521485725736,0.3736363085392337,50.92,53,1400,1657.4165779192163,200,40,40.0,7.007704973220825,False,NVIDIA A100-SXM4-40GB
music,spectral,256,2048,fp32,8024,10.000163555145264,77.07584999999999,0.1091074126721003,224.311315,19.415050403122187,147.23546500000003,2243.149837269709,1472.3787311178664,0.18349685083722164,49.88,51,1402,1246.281599594375,200,40,41.0,6.006830930709839,False,NVIDIA A100-SXM4-40GB
music,spectral,512,2048,fp32,6704,10.00009036064148,76.89515000000002,0.08752615323433562,230.579415,23.78968693704848,153.68426499999998,2305.8149853038517,1536.8565370087706,0.22924471017433928,49.68,51,1398,1491.6602566589318,200,40,40.0,6.006782054901123,False,NVIDIA A100-SXM4-40GB
music,spectral,1024,1024,fp32,7870,10.001253604888916,76.9007,0.07105005277971464,207.46958999999998,21.52511085086207,130.56888999999998,2074.9559848923254,1305.852581798844,0.16592790111802339,47.85,49,1400,1270.8073195538648,200,40,40.0,6.006695747375488,False,NVIDIA A100-SXM4-40GB
esprit,spectral,256,128,fp32,9292,10.00058889389038,76.62065,0.11877827031911178,81.20694999999999,0.660542540265198,4.586299999999994,812.1173222767114,45.8657008440494,0.004936041847185687,38.28,39,1095,1076.2579524204027,200,40,39.0,6.006706237792969,False,NVIDIA A100-SXM4-40GB
esprit,spectral,512,128,fp32,8917,10.00086760520935,76.0879,0.016999705879809267,82.31834500000001,0.5095644178855119,6.230445000000003,823.2548698249471,62.3098555665386,0.006987759960360951,37.0,37,1095,1121.5507014925818,200,40,37.0,5.005665302276611,False,NVIDIA A100-SXM4-40GB
esprit,spectral,1024,128,fp32,8010,10.000400304794312,75.9045,0.1138604408914678,83.68189999999998,0.6582480915278076,7.777399999999986,836.8524982657669,77.77711333050713,0.0097100016642331,36.0,36,1109,1248.4894263163935,200,40,36.0,5.005520582199097,False,NVIDIA A100-SXM4-40GB
svd,decomposition,256,1,fp32,4420,10.000566482543945,75.497,0.10084195555422545,100.45022499999999,4.463410891277546,24.95322499999999,1004.5591532989978,249.54638556637752,0.05645845827293609,36.82,37,1400,2262.571602385508,200,40,35.0,5.00573992729187,False,NVIDIA A100-SXM4-40GB
svd,decomposition,512,1,fp32,4009,10.000145196914673,75.5728,0.10807108771545022,101.03759000000002,4.531776898954758,25.464790000000022,1010.3905703463342,254.651597408941,0.06351997939858843,36.83,37,1400,2494.423845576122,200,40,35.0,5.005495548248291,False,NVIDIA A100-SXM4-40GB
svd,decomposition,1024,1,fp32,5219,10.001537561416626,75.57849999999999,0.0485546084321579,101.64332,4.051790386680929,26.06482000000001,1016.5894828470898,260.68827626156343,0.04994985174584469,36.85,37,1403,1916.3704850386332,200,40,35.0,5.00559663772583,False,NVIDIA A100-SXM4-40GB
pca,decomposition,256,1,fp32,7423,10.000435829162598,75.45975000000001,0.13512748610109138,98.02527000000002,4.118327509693712,22.565520000000006,980.2954222713377,225.66503471168525,0.03040078603148124,36.1,37,1400,1347.2229326636937,200,40,35.0,5.005748271942139,False,NVIDIA A100-SXM4-40GB
pca,decomposition,512,1,fp32,7364,10.001100540161133,75.287,0.0,98.378685,4.034864005858808,23.091685,983.8951196938419,230.9422633267307,0.03136098089716604,35.965,36,1402,1358.1070804129731,200,40,35.0,5.005606412887573,False,NVIDIA A100-SXM4-40GB
pca,decomposition,1024,1,fp32,7210,10.000731229782104,75.47654999999999,0.12230289244331156,98.80061000000002,4.565786674593986,23.32406000000003,988.0783459485223,233.2576552473119,0.03235196327979361,35.955,36,1398,1387.0639708435651,200,40,35.0,5.005733966827393,False,NVIDIA A100-SXM4-40GB
fastica,decomposition,256,1,fp32,852,10.000098466873169,75.50104999999999,0.10809554801193433,97.05339,3.7776209044714903,21.55234,970.5434565438437,215.5255221915293,0.25296422792433015,35.95,36,1400,11737.204773325317,200,40,35.0,5.005690574645996,False,NVIDIA A100-SXM4-40GB
fastica,decomposition,512,1,fp32,856,10.00337529182434,75.315625,0.09122408878689921,97.27919000000001,3.975541418964215,21.963565000000017,973.1202456546856,219.70978344137805,0.2566703077586192,35.935,36,1399,11686.186088579838,200,40,35.0,5.005643606185913,False,NVIDIA A100-SXM4-40GB
fastica,decomposition,1024,1,fp32,850,10.001527070999146,75.45989999999999,0.10084141014484242,97.75320999999998,4.5078547387754195,22.29330999999999,977.6813760920642,222.96714346717587,0.26231428643197163,35.93,36,1397,11766.502436469582,200,40,35.0,5.005494594573975,False,NVIDIA A100-SXM4-40GB
