algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
filterbank_32ch,filter,4096,1024,fp32,4374,10.007838487625122,4.907850000000001,0.04816822085151177,153.891135678392,51.93718041590682,148.983285678392,1540.117630546551,1491.0006604250602,0.3408780659408002,63.21105527638191,66,1613,2288.0289180670143,199,40,51.0,11.007866382598877,False
filterbank_32ch,filter,16384,128,fp32,8824,10.000455141067505,4.778499999999999,0.026697378148425138,155.6663517587939,49.01776306305104,150.8878517587939,1556.734367737453,1508.9471928458618,0.17100489492813484,62.663316582914575,66,1591,1133.3244720158098,199,40,50.0,11.00816798210144,False
lms,adaptive,256,1,fp32,618,10.017898797988892,4.9855,0.00849999999999973,24.738647959183673,7.960724750588899,19.75314795918367,247.82927165417647,197.88503719680284,0.3202023255611696,50.704081632653065,51,1081,16210.192229755487,196,40,51.0,7.005465030670166,False
lms,adaptive,1024,1,fp32,575,10.017526149749756,4.888299999999999,0.0662420561275087,24.334608465608465,7.802225308336381,19.446308465608467,243.77257664815457,194.80390357033286,0.33878939751362236,47.93121693121693,48,1019,17421.784608260445,189,40,48.0,7.004518508911133,False
lms,adaptive,4096,1,fp32,644,10.010500192642212,4.590425000000001,0.005894435935693861,25.3506432160804,7.698275872256629,20.7602182160804,253.77261879817684,207.8201684513672,0.32270212492448325,46.688442211055275,47,1119,15544.254957518962,199,40,47.0,5.003603219985962,False
lms,adaptive,16384,1,fp32,518,10.020262241363525,4.592099999999999,0.03995610091087461,21.53605025125628,6.354112306491362,16.943950251256283,215.79687116077076,169.78282492220535,0.3277660712783887,46.57788944723618,47,1077,19344.135601087884,199,40,46.0,5.006730079650879,False
nlms,adaptive,256,1,fp32,367,10.048102617263794,4.534724999999999,0.01011184330377018,25.290206185567012,8.277865905363424,20.755481185567014,254.11858696433688,208.55320482326533,0.5682648632786521,46.0,47,1182,27379.02620507846,194,40,46.0,5.0040576457977295,False
nlms,adaptive,1024,1,fp32,335,10.01215147972107,4.542199999999999,0.022301569451498183,26.651918781725886,7.409071485528233,22.10971878172589,266.8430480678626,221.36585361667358,0.6607935928855928,46.015228426395936,47,1187,29887.019342450953,197,40,45.0,5.002931594848633,False
nlms,adaptive,4096,1,fp32,336,10.012998342514038,4.6617999999999995,0.02303931422590502,24.86045728643216,7.902130099376499,20.19865728643216,248.92771760318624,202.24912193005432,0.601931910506114,46.537688442211056,47,1089,29800.590305101305,199,40,46.0,5.003344535827637,False
nlms,adaptive,16384,1,fp32,370,10.020438432693481,4.5695,0.015419143945109327,26.781806282722517,7.373816748750202,22.212306282722516,268.36544097234446,222.57704755415156,0.6015595879841934,45.92670157068063,46,1169,27082.266034306707,191,40,46.0,5.0039222240448,False
